CASEID,lang,type,q13,q14,q14a,q15,q16,q17,q41,q12,q18,q19,q20,q21,q23,q24,q25,q26,q27,q28,q6pre,q7m1,q7m2,q7m3,q7m4,q8,q9m1,q9m2,q9m3,q9m4,q9m5,q9m6,q10m1,q10m2,q10m3,q10m4,q10m5,q10m6,q11,q36yy,q36mm,q36dd,q31,q38,q32,q33,q35,q35b,q29pr,q29,q39,q40,q6,q22,q30,q1d,q1e,q1f,q1g,q2sav,q2a2,q2b2,q2c2,q2d2,q2e2,q2f2,q2g2,q2h2,q2i2,q2j2,q2k2,q3a,q3c,q3f,q3e,q3h,q3j,q3k,q3l,q3m,sex,age,o4a,o4b,o4c,o4d,ogvtl,ogovb,oothl,opvtl,o4e,o4f,o4g,o4h,o4i,o5a,o5b,o5c,o5d,o5e,o5f,o5e1,o5g,o5j,o5i,o5h,o5k,o5l,o5m,o6a,o6b,o6c,o6d,ochan,n4a,n4b,n4c,n4d,ngvtl,ngovb,nothl,npvtl,n4e,n4f,n4g,n4h,n4i,n5a,n5b,n5c,n5d,n5e,n5f,n5e1,n5g,n5j,n5i,n5h,n5k,n5l,n5m,n6a,n6d,n6b,n6c,nchng,d4a,d4b,d4c,d4d,dgvtl,dgovb,dothl,dpvtl,d4e,d4f,d4g,d4h,d4i,d5a,d5b,d5c,d5d,d5e,d5f,d5e1,d5g,d5j,d5i,d5h,d5k,d5l,d5m,d6a,d6d,d6b,d6c,dhang,j4a,j4b,j4c,j4d,jgvtl,jgovb,jothl,jpvtl,j4e,j4f,j4g,j4h,j4i,j5a,j5b,j5c,j5d,j5e,j5f,j5e1,j5g,j5j,j5i,j5h,j5k,j5l,j5m,j6a,j6d,j6b,j6c,jhang,jgrad,jperf,jabovm1,jabovm2,jabovm3,jabovm4,jbelom1,jbelom2,jbelom3,jbelom4,gasst,f4a,f4b,f4c,f4d,fgvtl,fgovb,fothl,fpvtl,f4e,f4f,f4g,f4h,f4i,f5a,f5b,f5c,f5d,f5e,f5f,f5e1,f5g,f5j,f5i,f5h,f5k,f5l,f5m,f6a,f6d,f6b,f6c,fchn1,fchng,fchn3,fchn4,fwrk,fwrk2,m4a,m4b,m4c,m4d,mgvtl,mgovb,mothl,mpvtl,m4e,m4f,m4g,m4h,m4i,m5a,m5b,m5c,m5d,m5e,m5f,m5e1,m5g,m5j,m5i,m5h,m5k,m5l,m5m,m6a,m6d,m6b,m6c,mchan,mcarv,mcars,mcarg,mcary,mcarm,mmarv,mcomp,mcom3,mcom2,mcom4,mcom5,mcom6,mcom7,melism1,melism2,melism3,melism4,melism5,melism6,melism7,melec,masst,mcage,a4a,a4b,a4c,a4d,agvtl,agovb,aothl,apvtl,a4e,a4f,a4g,a4h,a4i,a5a,a5b,a5c,a5d,a5e,a5f,a5e1,a5g,a5j,a5i,a5h,a5k,a5l,a5m,a6a,a6d,a6b,a6c,achan,aborr,y4a,y4b,y4c,y4d,ygvtl,ygovb,yothl,ypvtl,y4e,y4f,y4g,y4h,y4i,y5a,y5b,y5c,y5d,y5e,y5f,y5e1,y5g,y5j,y5i,y5h,y5k,y5l,y5m,y6a,y6d,y6b,y6c,ychan,yamte,yspex,ycred,ydone,ynxty,ynore,yaend,ybend,wgt,iarea,prov
 338,1,5,1,11, 3,-1,1,9,2,1,1, 5,1,10,1, ,2, 0,2,2,1,6, , ,          ,3, , , , , ,          , , , ,          ,          ,          ,2,1982, 4,19,1, 1,2, ,1, , , , 7, 7, 50, 1500, 40000,    0,   -1,    0,    0,  100, 1000,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 300,  100,  200,    0,    0,  100,1,20,    0,  150,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0, 0,  0,   0,   0,   30, 150,  0,    0,    0,   0,  20,   0,  20,    0,2,  180,  60,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0,  0,  0,  0,   0,    0,  100,   0,    0,   0,   0, 103,   0,    0,   0, , 500,  50,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0,  0,  0, 70,  0,  0,  0,   0,  20, 150,  0,   0,    0,   0,  80,   0,   0, 200,1,  150,   50,   0,   50,   0,   0,   0,   0,   0,    0,    0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,    0, 100,  0,   0,   0,  50, 200,   0, 100, 200,1, 5,3, , , ,          , , , , ,0, 400,  50,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,    0,   0,  0,  0,   0,  0,  0,   0,  50,   20, 200,  0,    0,    0,  25, 100,   0, 100,  25,1,1, , ,10,20,  250, 250,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0, 50,  0,  0,  0,   0,   10,  100,  0,   0,   0, 200, 120, 400,  40, 200,1,1, , ,  ,  ,     ,1,1,4,1,2,2000,4,1,2,3,4,6, , , 1000,   500,    , 100,  200,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,   0,   0,  150,  0,   0,   0,  10,  40,   0,   0,  40, ,    0, 500,    0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0, 250,   0,  0,  0,  50,  0,  0,  0,   0,    0, 100,  0,   0,   0,   0, 200, 200,   0, 400, ,3,3,99999,2,1, ,1,2,0.534970,204,4
 339,1,1,1, 9, 4, 1,1,2,2,1,1,19,1,19,2, ,2, 1,2,2,2, , , ,          ,9, , , , , ,          , , , ,          ,          ,          ,2,1979,10,19,1, 1,2, ,1, , , , 7, 7,   ,    0, 60000,    0,    0,  200, 1500,    0,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 500,    0,  200,    0,    0,  100,2,23,  290,    0,   0,    0, 5000,    0,    0,    0,10000,    0,   0,   0,    0,    0,  0,  0,  0, 0,  0,   0, 100,  100,8000,  0,    0,    0,   0, 100,  40, 150,  100,2, 1100,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0, 1100,    0,  0,  0,  0,  0,  0,  0,   0,    0,   60,   0,    0,1000,   0,  60,  21,    0,  70, ,1100,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0,  0,  0, 35,  0,  0,  0,   0,  20,  50,  0,   0,    0,   0,  60,   0,  20,  30,1, 1360,    0,   0,  100,   0,   0,   0,   0,   0,    0,    0,   0,   0,   0,  0,  0, 30,  0,  0,  0,   0, 1500,  50,  0,   0,   0,   0,  50, 200,  10,  50,1, 4,4, , , ,          ,2,3, , ,2,2300,   0,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,    0,   0,  0,  0,  37,  0,  0,   0,  30,  150,  30,  0,    0, 1400,   0,  70, 250,  70,  70,1,1, , ,20,12, 1900, 100,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0, 30,  0,  0,  0,   0,  100,   30,  0,   0,1300,   0,  70,   0,  10,  50,1,2,1,1,  ,10, 9000,1,2,4, , ,    , ,2,4,6, , , , ,  450,   500, 1.8,1300,   50,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0,   0,  0,  0,  30,  0,  0,  0,   0, 100,   40,  0,   0, 800,   0, 100, 200,   0,  60,1,    0,1833,   55,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  32,  0,  0,  0,  14,   62,  31,  0,   0,1330,   0,  73, 165,  50,  53, , , ,     , , , , , ,0.688162,403,2
 340,2, ,1, 3, 4, 2,1,9,2,2,2,  ,2,  , , ,1, 2,2,2,2, , , ,          ,3, , , , , ,          , , , ,          ,          ,          ,2,1977, 5,10,1, 2,2, ,2, ,2, , 6, 3,   ,    0, 35000,20000, 3000,  100,    0,    0,    0,    0,   0, 3255,    0,    0,    0,    0,    0,    0,    0,    0,  800,  400, 200,  600, 1050,    0,    0,  200,2,25,    0,    0,   0,    0,    0, 2088,    0,    0,    0,    0,   0,   0,    0,    0,100,  0, 50,50, 50,   0,  50,  450, 325,  0,    0,    0,  15,    ,    ,    ,     ,1,    0,   0,   0,    0,   0, 720,   0,    0,    0,    0,   0,   0,    0,    0, 35, 30, 30, 50, 50,  0,  25,   50,  375,   0,    0,   0,  50,    ,    ,     ,    , ,   0,   0,   0,    0,   0, 720,   0,    0,   0,   0,   0,   0,   0,    0, 61, 17, 38, 47, 50,  0,  36,  55, 312,  0,   0,    0,  26,    ,    ,    ,    , ,    0,    0,   0,    0,   0, 908,   0,   0,   0,    0,    0,   0,   0,   0, 72, 19, 39, 48, 46,  0,  38,  130, 294,  0,   0,   0,  33,    ,    ,    ,    , ,  , , , , ,          , , , , ,1,    ,    ,    ,    ,     ,    ,    ,    ,     ,    ,    ,    ,     ,    ,   ,   ,    ,   ,   ,    ,    ,     ,    ,   ,     ,     ,    ,    ,    ,    ,    , , , , ,  ,  ,     ,    ,    ,    ,    ,    ,    ,     ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,    ,     ,     ,   ,    ,    ,    ,    ,    ,    ,    , , , , ,  ,  ,     , , , , , ,    , , , , , , , , ,     ,      ,    ,    ,     ,    ,   ,    ,    ,    ,     ,    ,     ,    ,    ,    ,    ,   ,   ,    ,   ,   ,   ,    ,    ,     ,   ,    ,    ,    ,    ,    ,    ,    , ,     ,    ,     ,    ,    ,    ,    ,    ,     ,    ,    ,    ,    ,    ,    ,   ,   ,    ,   ,   ,   ,    ,     ,    ,   ,    ,    ,    ,    ,    ,    ,    , , , ,     , , , , , ,1.226112,819,6
 341,1,4,1,11, 3, 3,1,2,2,2,2,  ,2,  , , ,2, 2,2,2,2, , , ,          ,3, , , , , ,          , , , ,          ,          ,          ,2,1980, 2,29,1,98,2, ,4,1,1,3, 7, 2,   , 3000,999999,15150,    0, 1000,    0,  300,  200,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,  520,    0,    0,   0,    0,  400,    0,  220,  200,2,22,    0,  200,   0,    0, 5445,    0,    0,    0,    0,    0,   0,   0,    0,  260,  0,  0, 60, 0,  0,   0, 650,  500,  80,  0,    0,  350,   0,  60,  15,   5,   20,1,    0,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,  320,  0,  0, 45,  0,  0,  0,   0,    0,   52,   0,    0,1000,  10,  10,  20,   15,   5,1,   0,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,  280,  0,  0, 65,  0,  0,  0,   0,  23,  34,  0,   0,  900,  10,  15,   0,  27,   2,1,    0,    0,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0, 280,  0,  0, 50,  0,  0,  0,  40,   25,  26,  0,   0,   0,   0,  20,   0,  25,   0,2, 5,3, , , ,          , , , , ,2,   0, 200,   0,   0,  630,3000,   0,   0,    0,   0,   0,   0,    0, 330,  0,  0,  42, 10,  0,   0,  27,  435,  55,  0,    0,  200,   0,  60,   0,   0,   0,2,1, , , 0, 0,    0,   0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 265,  0,  0, 60, 15,  0,  0,   0,    0,   46,  0,   0, 200,  26, 100,   0,  15,   0,2,1, , ,  ,  ,     ,1,2,4, , ,    , ,9, , , , , , ,     ,  1500,    ,   0,    0,   0,  0,   0, 700,   0,    0,   0,    0,   0,   0, 800,   0,  0,  0,  65, 20,  0,  0,  50,   0,  100,  0,   0, 800,   0, 100, 175,  55,  50, , 6085,   0,  265,   0,  50,   0,   0,   0,    0,   0,   0,   0,   0,   0, 265,  0,  0,  81,  0,  0,  0,  65,  360,  10,  0,   0, 400,   0,  50,  47,  25,   0, ,2,3,  800,2,1, ,1,1,1.089205,519,5
 342,1,4,1, 6, 5, 2,1,9,2,2,2,  ,2,  , , ,2, 4,2,1,2, , , ,          ,2,3,5, , , ,          , , , ,          ,          ,          ,1,1975, 7,10,1, 1,2, ,4,3,1,3, 8, 7,   ,    0, 17000,16000, 6500, 5000,    0,    0,    0,    0,   0,    0,    0,    0, 5000,    0,  200,    0,    0,  900,    0,    0, 500,    0, 1000,    0, 1500,    0,1,27,    0,    0,   0,    0,    0,    0,    0, 2000,    0,    0,   0,   0,    0,  350,  0,  0, 50,28,  0,   0,  50,  300,  70,  0,    0,    0,  50, 280,   0,  40,  120,1,    0,   0,   0,    0,   0,   0,   0, 1500,    0,    0,   0,   0,    0,  350,  0,  0, 40, 25,  0,  0,   0,  150,   50,   0,    0,   0,   0, 280,  40,   40, 200,1,   0,   0,   0,    0,   0,   0,   0, 1000,   0,   0,   0,   0,   0,  350,  0,  0, 50, 25,  0,  0,  40, 150,  50,  0,   0,    0,   0,1000, 200, 120, 600,1,    0,  500,   0,    0,4400,3300,3250,   0,   0,    0,    0,   0,   0, 350,  0,  0, 50, 25,  0,  0,  40,  150,  50,  0,   0,   0,   0,1000, 200, 120, 600,1, 5,3, , , ,          , , , , ,5,   0,   0,   0,   0,    0,   0,1000,   0,    0,   0,   0,   0,    0, 350,  0,  0,  50, 25,  0,   0,  40,  150,  50,  0,    0,    0,   0,1200, 200, 600, 150,1,1, , , 0, 0,    0,   0,   0,   0,   0,3100,   0,    0,   0,   0,   0,   0,   0, 350,  0,  0, 75, 25,  0,  0,  40,  150, 1000,  0,   0,   0,   0,1200, 200, 120,2000,2,2,1,1,  , 3,18000,1,1,4,2,1,3600,2,6, , , , , , ,  100,  5000, 2.3,   0,    0,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0, 350,  0,  0,  75, 25,  0,  0,  40, 150,  450,  0,   0,   0,   0,1200, 200, 120, 600, ,13100,   0,    0,   0,   0,   0,   0,   0, 1000,   0,   0,   0,   0,   0, 350,  0,  0,  75, 25,  0,  0,  40,  150, 450,  0,   0,   0,   0,1200, 200, 120,2000, ,3,1,    0,2,1, ,1,2,0.686710,709,9
 343,1,4,1, 4, 3, 1,1,2,2,2,2,  ,2,  , , ,1, 0,2,2,1,6, , ,          ,3, , , , , ,          , , , ,          ,          ,          ,1,1983, 3, 4,1, 1,2, ,1, , , , 8, 8, 25, 1600,145000,    0,    0,    0,  150, 1600,  100,    0,1300,    0,    0,    0,    0,  150,    0,    0,    0,    0,    0,    0,   0,  300, 2700,    0,    0,    0,1,19,    0,   60,   0,  500,    0,    0,    0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0, 0,  0,   0,   0,  600,  75,  0,    0,    0,   0,  30,   0,  45,    0,1,    0,  70,   0,   60,   0,   0,   0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0,  0,  0,  0,   0,   10,   67,   0,    0,   0,   0,  15,   0,    5,  20,1,   0,  70,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0,  0,  0,  0,  0,  0,  0,   0,  10,  47,  0,   0,    0,   0,   7,   0,   0,  20,1,    0,   40,   0,  130,   0,   0, 500,   0,   0,    0,    0,   0,4750,   0,  0,  0,  0,  0,  0,  0,   0,    0,  50,  0,   0,   0,   0,  40,   0,   0,  25,2, 7,4, , , ,          ,1,2,4, ,0,   0,  50,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,    0,   0,  0,  0,   0,  0,  0,   0,   0, 2700,  10,  0,    0,    0,   0,  30,   0,  30,  30,1,1, , , 0, 0,    0,  20,   0,  50,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,    0,   30,  0,   0,   0,   0,  50,   0,   0,  35, ,2, , ,  ,  ,     ,1,2,2, , ,    , ,4,5, , , , , ,  250,  2000,    ,   0,   50,   0, 90,   0,   0,   0,    0,   0,    0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,   0,   0,   10,  0,   0,   0,   0,  40,   0,   0,  25, ,    0,   0,   40,   0,  40,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,   0,    0,   5,  0,   0,   0,   0,  30,   0,   0,  35, ,1,3,    0,2,1, ,1,1,0.886206,403,2
 344,1,1,3, 2, 3, 1,1,2,2,2,1,24,2,  , , ,2, 0,2,1,2, , , ,          ,3, , , , , ,          , , , ,          ,          ,          ,1,1982, 9,22,1,98,2, ,1, , , , 7, 7,   ,    0, 60000,    0,    0,    0,    0, 4000,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 300,    0,    0,    0,    0,    0,1,20,    0,  500,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,    0,  100,  0,  0,  0, 0,  0,   0,   0,  800,  70,  0,    0,    0,   0,    ,    ,    ,     ,1,    0,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0,  0,  0,  0,   0,    0,  100,   0,    0,   0,   0,    ,    ,     ,    ,1,   0,  50,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0,  0,  0,  0,  0,  0,  0,   0, 200,  70,  0,   0,    0,  50,    ,    ,    ,    ,1,    0,    0,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,    0,  70,  0,   0,   0,   0,    ,    ,    ,    ,1, 3,3, , , ,          , , , , ,0,   0,  60,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,    0,   0,  0,  0,   0,  0,  0,   0,   0,  800,  70,  0,    0,    0,   0,    ,    ,    ,  10,1,1, , , 0, 0,    0,   0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,    0,   63,  0,   0,   0,   0,    ,    ,    ,    ,1,1, , ,  ,  ,     ,9,2,3, , ,    , ,9, , , , , , ,     ,   200,    ,   0,    0,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,   0,   0,   70,  0,   0,   0,   0,    ,    ,    ,    , , 4400,   0,    0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,  90,   0,  0,  0,   0,  0,  0,  0,   0,    0,  60,  0,   0,   0,   0,    ,    ,    ,    ,1,3,3,    0,2,1, ,1,1,1.085743,604,1
 345,1,2,1, 3, 4, 2,1,1,2,2,1,40,1,45,2, ,1, 2,1,1,2, , , ,          ,3, , , , , ,          , , , ,          ,          ,          ,1,1956, 8,15,2, 1,1,3,2, ,2, , 2, 8,   ,16000,110000,    0,  600,    0,15000, 2000,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,  300, 1600, 3000,   -1,1,46, 6000,    0,   0,    0,    0, 3000,    0,    0,    0,    0,   0,   0,    0, 1000, 73, 83, 61,80, 11,  39, 600, 3700, 300,213,  400,  500, 900,  92,   0,   0,   30,1, 6000,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,  900, 90,100, 55, 60,  0, 50,   0,  100,  200, 200,  400, 700,2500,  80, 400,   20, 100, ,6000,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 1000, 55, 65, 55, 85, 22,  0, 200,   0, 100,225, 500,  100,2000,  80,   0, 100, 150,1, 6000,    0,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0,1000,100,100, 25, 30, 20,  0, 250,    0,  50,100, 600, 400,1800, 600, 100,1000, 200,1, 1,2,4, , ,          , , , , ,2,6000,   0,   0,   0,    0,   0,1900,   0,    0,   0,   0,   0,    0,1000, 80,120,  30, 30, 30,   0,   0, 2500, 300, 40,  400, 1500,1000,  20,   0,   0,   0,1,1, , ,40,40, 6000,   0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,1000, 75,113, 40, 30, 20,  0, 250,    0,  125,  0,8100, 500,1500, 300,   0, 100,  40,1,1,2,1,  , 2,15000,1,1,0,2,1,2000,2,1,2,3,4,6,7, ,  125,200000, 1.2,6000,    0,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0,1000,150,125,  25, 16, 20,  0,   0, 160,  200,  0,7400, 300,1500, 200,   0,  50,  20, ,    0,6000,    0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,1000, 80, 80,  45, 30, 20,  0,   0,    0, 160,200, 500,1000,  50,  60,  60,  10,  10, ,3,3,    0,2,8,8,2,2,1.402663,613,5
 346,2,1,1, 5, 4, 2,1,2,2,2,1,15,1,15,2, ,2, 1,2,1,2, , , ,          ,3, , , , , ,          , , , ,          ,          ,          ,1,1978, 1,15,1, 2,2, ,3, ,2, , 5, 3,   , 2430, 14400, 3255,  665,   -1,    0,    0,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,    0,    0,    0,    0,2,24,  800,    0,   0,    0, 3255,    0,    0, 3000,    0,    0,   0,   0,    0,  325, 23,  0, 25,10,  0,   0,   0, 7810,  42,  0,    0,   94,   0, 800, 200, 800, 1200, ,  818,   0,   0,    0,   0, 750,   0, 3000,    0,    0,   0,   0,    0,  325, 23,  0, 36, 11,  0,  0,   0,   94,   44,   0,    0,  45,   0, 200, 200,   60, 160, , 818,   0,   0,    0,   0, 750,   0, 3000,   0,   0,   0,   0,   0,  325, 43,  0, 28, 12,  0,  0,   0, 781,  42,  0,   0,  100,   0, 220, 200,  60, 200,1,  670,    0,   0,    0,   0,   0,   0,3000,   0,    0,    0,   0, 228, 325, 45,  0, 27, 12,  0,  0,   0,    0,  42,  0,   0,   0,   0, 240, 400, 120, 160,1, 3,2,4, , ,          , , , , ,4, 807,   0,   0,   0,    0,1284,   0,3000,    0,   0,   0,   0,    0, 325, 40,  0,  27, 12,  0,   0,   0,    0,  43,  0,    0,    0,   0, 240,   0, 160,  40,2,1, , ,15,20, 2213,   0,   0,   0,   0,   0,   0,  135,   0,   0,   0,   0,   0, 340, 44,  0, 28, 12,  0,  0,   0,    0,   30,  0,   0, 135,   0, 280,   0,  60, 160,1,1, , ,  ,  ,     ,1,1,2,2,1,9999,1,1,2,4, , , , ,  200,  4000,    ,2413,    0,   0,  0,   0, 845,   0, 3000,   0,    0,   0,   0,   0, 340, 45,  0,  28, 12,  0,  0,   0, 700,   42,  0,   0,   0,   0, 280, 160,  80, 240, ,99999,1175,    0,   0,   0,   0, 185,   0, 3000,   0,   0,   0,   0,   0, 340, 45,  0,  30, 12,  0,  0,   0,    0,  42,  0,   0,   0,   0, 280, 200,  80, 200, ,1,1,  110,2,2, ,2,1,1.226112,418,6
 347,1,1,1, 3, 5, 2,1,1,2,2,1,20,1,15,2, ,2, 2,2,1,2, , , ,          ,2,1, , , , ,          , , , ,          ,          ,          ,1,1971, 7,13,1, 1,2, ,4,3,1,3, 1, 1,   , 4000, 28000,    0,    0,  500,    0, 4500,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,   50, 2700,    0,    0,  210,1,31,  850,    0,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,  400,  396, 20, 20, 20,20, 20,   0,  20, 1600,  65,  0,    0,    0,  55, 200,  45, 300,  150,1,  800, 500,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,    0, 50, 50, 20, 20, 20,  0,  80,  150,   40,   0, 1000,   0,   0, 250, 150,   55, 200, , 400,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0, 35, 35, 15, 15, 15,  0,   0, 100,  60,  0,   0,    0,   1,  75,  65,  20, 150,1,  800,  300,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0, 400, 40, 60, 10, 10, 10,  0,  25,   50,  30,  0,   0,   0,  20, 110, 400,  35, 300,1, 3,3, , , ,          , , , , ,0, 700,   0,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,    0, 400, 65, 55,  15, 15, 15,  25,   0,   50,  50,  0,    0,    0,  35, 200,  80, 150, 150,1,1, , ,15,15,  550,   0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 400, 30, 30, 20, 10,  0,  0,   0,   50,   30,  0,   0,   0,   0,  75,  55,  15,  75,1,1, , ,  ,  ,     ,1,1,2,2,1,1500,6,1,2,3,4, , , ,  600,  1200,    , 800,    0,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0, 400, 15, 20,  10, 10, 10,  0,  20,  80,   25,  0,   0,   0,   0, 130,  50,  25, 150, ,    0, 300,    0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 368, 32, 27,  15, 12,  8,  8,   9,   32,  32,  0,   0,   0,  23,  55,   0,  20,  30, ,2,2,   65,1,3,8,1,1,0.686710,902,8
 348,1,4,1, 3, 3, 0,1,2,2,2,2,  ,2,  , , ,2, 1,2,2,1,6, , ,          ,1, , , , , ,          ,2, , ,          ,          ,          ,1,1982,10,21,1, 1,2, ,4,1,1,3, 6, 3,  0, 3000,120000,    0,    0,    0,    0, 3000,    0,    0,1800,    0,    0,    0,    0,    0,    0,    0,    0,  800,  100,    0, 100,    0,  400,    0,    0,  200,2,20,    0,  120,   0,   20,    0,    0,    0,    0,    0,    0,   0,   0,    0,  827,  0,  0,  0, 0,  0,   0,   0,   80,  10,  0,    0,  257,   0, 200,  50,  60,  100,1,    0, 100,   0,  270,   0,   0,   0,    0,    0,    0,   0,   0,    0,  827,  0,  0, 30,  0,  0,  0,   0,    0,    0,   0,    0,   0,   0, 200,  10,   50,  70, ,   0,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,  827,  0,  0, 75,  0,  0,  0,   0,   0, 300,  0,   0,   65,   0, 100,  20,  30, 100, ,    0,  100,   0,   75,   0,   0,   0,   0,   0,    0,    0,   0,   0, 827,  0,  0, 48,  0,  0,  0,   0,   20,  10,  0,   0,   0,   0, 200,   0,  50,  20,1, 6,4, , , ,          ,1,4, , ,0,   0, 500,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,    0, 827,  0,  0, 140,  0,  0,   0,   0,  600,  20,  0,    0,  200,   0, 250,  50, 150, 150,1,1, , , 0, 0,    0, 500,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 827,  0,  0,140,  0,  0,  0,   0,  100,   20,  0,   0,   0,   0,  50,   0,  25,  50,1,1, , ,  ,  ,     ,1,1,1,1,1,1500,0,3, , , , , , ,  200,   700,    ,   0,  500,  10,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0, 827,  0,  0, 180,  0,  0,  0,   0,   0,   25,  0,   0,   0,   0, 200,   0,  50, 100, ,    0,   0,  550,   4,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 761,  0,  0, 153,  0,  0,  0,   0,  124,  20,  0,   0,  76,   0, 152,  18,  51,  88, , , ,     , , , , , ,1.226112,514,6
